spu_code,buyer,DE,ES,FR,IT,GB,US,MX
S240822003743,张健,1729493174484768783,1729493172249597967,1729493172238391311,1729493172278171663,1729426566201248783,1729623265116590095,1731821918413162511
S240822007209,刘雪莹,1729511463599577624,1729495226667276824,1729562947374914072,1729495225898408472,1729427083920510488,1729632066683310616,1732224330422389272
S240822007408,吴斐,1729480548978891601,1729480547980516177,1729480547704019793,1729480549001829201,1729425664367759185,1729609744284881745,1731765369078057809
S240822007533,范文,1729492907861776536,1729492910223759512,1729492905484523672,1729492910196496536,1729426303037901976,1729619809344393368,1732014542064748696
S240823001497,吴斐,1729502098640181636,1729502098724854148,1729502098723477892,1729502098722101636,1729427272269991300,1729636182981251460,1732129285512989060
S240823002488,张天一,1729494277511092906,1729494277556574890,1729494279118887594,1729494279028054698,1729426801627336362,1729627037969978026,1731356489135851178
S240823004058,游宇航,1729480657245083691,1729480656516388907,1729480655152125995,1729480652207396907,1729426978896186411,1729629493797752875,1731854497267812395
S240823005201,范文,1729646193636121056,1729630568592611808,1729630568412518880,1729630568609585632,1729427280052784608,1729636298390933984,1732672299191862752
S240823005913,刘雪莹,1729506230722927008,1729506230275316128,1729506230829160864,1729506230875429280,1729426452392086944,1729621976689316256,1734949283066840480
S240823006193,张宇,1729621067462187596,1729621067486698060,1729621067399797324,1729621066793589324,1729427449951260236,1729642556491665996,1731846384427107916
S240823007706,张宇,1729480731988695369,1729480730570168649,1729480731370101065,1729480729652074825,1729426536537623881,1729623041953993033,1731770280125565257
S240823007827,范文,1729480481330338567,1729480479782574855,1729480479720512263,1729480479720184583,1729425993609023239,1729615876811297543,
S240823008320,陈家琪,1729485671220287793,1729485671222253873,1729485671498225969,1729485669534832945,1729427357635284273,1729638758554112305,1731846349865518385
S240824003071,魏冰馨,1729503749559982975,1729503748029848447,1729503748776827775,1729503749512338303,1729426874336579455,1729628672137663359,1732187517601810303
S240824005173,魏冰馨,1729503126521813887,1729503125836372863,1729503125816843135,1729503126458243967,1729426799552925567,1729627042171163519,1732166528901744511
S240825000469,王谍,1729494874383555534,1729494874301504462,1729494873495083982,1729494874276993998,1729426451656970190,1729621940786271182,1732166692461053902
S240825001422,常捷,1729480007546673709,1729480009585170989,1729481925652748845,1729494253079403053,1729425675501145645,1729609854423503405,1731765360349514285
S240825003171,张宇,1729480234919696713,1729480235301378377,1729480234708670793,1729480235035892041,1729426308656762185,1729619876098052425,1732018126397540681
S240826001011,常捷,1729483676154501600,1729483672244361696,1729483681792236000,1729483679321987552,1729426451474648544,1729621996085350880,1731491776512165344
S240826004119,吴斐,1729481215214852187,1729481214724708443,1729491085789796443,1729481214646458459,1729425748195380315,1729611396777873499,1732388286149133403
S240826006794,陈家琪,1729520016757004728,1729485724998212024,1729485726280554936,1729485725674412472,1729426311976553912,1729619878750818744,1734675937488963000
S240826007209,吴斐,1729481081690757644,1729481090359597580,1729481086474295820,1729481082583292428,1729427461859610124,1729642875676561932,1732016349827205644
S240826007731,陈家琪,1729500992019274168,1729501232102152632,1729504288811030968,1729504284603554232,1729427068428389816,1729631709531967928,1733643114706077112
S240827001013,常捷,1729491395163691593,1729491395436386889,1729491396245035593,1729491396289927753,1729427081625374281,1729632026403770953,1732176354444872265
S240827002068,郑川粤,1729492287781509865,1729492285716142825,1729492288293346025,1729492287840033513,1729427111876071145,1729632702738305769,1731760050240981737
S240827002866,常捷,1729588540532430909,1729588539842336829,1729588539340462141,1729588540386023485,1729426103675096125,1729617393196437565,1732671906808759357
S240827010010,李泳乐,1729481730367658640,1729481731392510608,1729481729826986640,1729481733381331600,1729426320709226128,1729619933090648720,1732385263323678352
S240828000830,魏冰馨,1729492907371502014,1729492905894189502,1729492907146647998,1729492905422461374,1729427691737877950,1729651686319624638,1732054357593655742
S240828007847,王谍,1729480470465648904,1729480476082870536,1729480476182419720,1729480475263146248,1729426419377540360,1729621199697645832,1731758480618129672
S240828010559,张健,1729480365927602880,1729480366852119232,1729480366359354048,1729480367294683840,1729426747088473792,1729625885913092800,1732054465276906176
S240829001202,张天一,1729489388882205354,1729489389371562666,1729489386596244138,1729489392725170858,1729426303566712490,1729619809282069162,1731847065253086890
S240829005863,李泳乐,1729480071910365601,1729480071925832097,1729480072011422113,1729480071501158817,1729427268802416033,1729636179716575649,1733148024500684193
S240829006927,魏冰馨,1729480725343607437,1729480725459540621,1729480724574673549,1729480725335743117,1729429814390460045,1729714837443220109,
S240829007244,阮梓颖,1729481850258233583,1729481860901148911,1729481850824988911,1729481837292460271,1729427606703279343,1729648385719570671,1731767458555267311
S240829008924,王可心,1729480914798614605,1729480914319415373,1729480914065135693,1729480914530179149,1729426537589083213,1729623043742732365,1732127016398981197
S240830005374,游宇航,1729480099810024125,1729480098085182141,1729480100963719869,1729480100917582525,1729427399906987709,1729640546763575997,1731760130486012605
S240830006365,阮梓颖,1729495584024337403,1729495584023485435,1729495584042359803,1729495583988489211,1729427443316854779,1729642209194054651,1731759618006944763
S240830007568,刘雪莹,1729489978929158981,1729489978509728581,1729489979049548613,1729489951343811397,1729427266540113733,1729868768989844293,1736142849723959109
S240831002404,刘雪莹,1729480169783204677,1729480170660993861,1729480169753058117,1729480168496929605,1729427278278201157,1729636306562487109,1733622383625996101
S240831007773,徐熙雅,1729535343439157731,1729535338744420835,1729535338743699939,1729535343438436835,1729427180021583331,1729868777050182115,1736107248953689571
S240901001079,沈亦莎,1729480018583526123,1729480090309729003,1729480017918925547,1729480018409593579,1729427915708731115,1729659327715185387,1732207536320186091
S240901001199,陈家琪,1729489470458599602,1729489472359340210,1729489471296084146,1729489471981852850,1729427280062811314,1729636302326763698,1731878646492661938
S240901002914,任思宁,1729488609172101628,1729482631901583868,1729480022378191356,1729480023667087868,1729427167391944188,1729633747421532668,1736330854658508284
S240902000774,吴斐,1729504867983989739,1729504868069186539,1729504867851672555,1729504868134788075,1729427387931398123,1729639987950162923,1732055276500061163
S240902002411,黄依婷,1729492907632400695,1729492907983411511,1729492908331211063,1729492907217623351,1729427396119334199,1729640795852935479,1731412360133575991
S240902003273,任思宁,1729497040120420606,1729497043508435198,1729497041319663870,1729497041329166590,1729427669844266238,1729650560661164286,1731994612843776254
S240902003399,郑川粤,1729854793960233076,1729854793942210676,1729854793084934260,1729854792922077300,1729427075133639796,1729631897634377844,1731760238345816180
